Item_Num;moveID;loc_reject;handler_reject;obj_reject;loc_refname;crate_refname;loc_handler_refname;capture_datetime;moveCSID;move2obj_CSID;obj2move_CSID
3-12728;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;4a3cc6da-c69e-4895-bc6a-3f8a79ad3e76;0dbeca0a-6578-4255-9ec4-0f0f55f91218
3-10309;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;b839255e-b192-4320-8534-c47c370a585d;00012f22-b122-45fa-ba23-9a85d6b5e70d
3-13879;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;6f6816ec-2587-4859-990f-b9040eecc5a6;a70bc010-402f-4529-b93a-97017c4ad801
3-10397;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;c78c5d82-f97e-46d2-8bf3-882aba3e7f0b;15c43c42-d6f9-4f28-8281-88bfffa243f8
3-11429;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;6419e6cc-af8f-41e0-9154-c7b278b617fd;8f0a84d7-bc07-4d2c-a385-f3cb2bdc7593
3-11427;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;c8c12b67-aef9-45e8-8dc8-7a54e0270047;f54fa80f-29f2-4e46-8a83-0246af4a17b3
3-11430;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;13f808b6-c841-4619-805f-16c9e824bbc1;8ff54b9e-6c7e-47ac-80ff-137ffc51a2d4
3-11831;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;7c4d6815-0ea8-4c8b-ac69-f350b1bf9fc4;0afc3e82-ecb7-45f6-8d70-ee087e6be147
3-11872;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;ebbc9a57-5ff1-4a51-9b10-2393cb61b68f;e6b19ddf-06f5-4ab9-899a-f99fb23488ac
3-12311;Barcode.20150916-1426-R.0001;false;false;false;urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(location):item:name(sl13753)'Kroeber, 20AMez, EE 09, 01';urn:cspace:pahma.cspace.berkeley.edu:locationauthorities:name(crate):item:name(CentralAmericanArchaeologyStorageBox00081395415362571)'Central American Archaeology Storage Box 0008';;2015-09-02T10:59:00Z;92e6e172-6407-4777-92be-0edfa63727e7;69d390d6-f5e9-4797-9821-173dfda022ff;81c4c1ab-0448-4e4f-996a-adfe4344dc9b
